event_type,qc_level,intensity,city,region_country,datetime_utc,reporter,description,query_year,query_month,queried_event
Ice,QC2,EF1,Madrid,Spain,03/09/2014 10:31 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2014,09,Ice
Tornado,QC2,F-Scale: IF2,Madrid,Spain,30/09/2025 04:41 UTC,ESWD Management,Strong winds caused structural damage.,2025,09,Tornado
Wind,QC0,F-Scale: IF2,Vienna,Austria,24/11/2023 17:38 UTC,University Research Group,Damage to vegetation and light structures.,2023,11,Wind
Ice,QC1,F-Scale: IF2,Munich,"Bavaria, Germany",13/01/2023 07:46 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2023,01,Ice
Devil,QC1,EF1,Vienna,Austria,28/09/2013 06:32 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2013,09,Devil
Ice,QC0+,N/A,Munich,"Bavaria, Germany",05/01/2019 22:51 UTC,Public Report,Event observed via satellite imagery.,2019,01,Ice
Ice,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",19/03/2016 18:31 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2016,03,Ice
Lightning,QC0+,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",04/04/2005 09:56 UTC,Public Report,Strong winds caused structural damage.,2005,04,Lightning
Snow,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",17/04/2022 12:47 UTC,Storm Chaser Network,Strong winds caused structural damage.,2022,04,Snow
Ice,QC1,F-Scale: IF1,Rome,"Lazio, Italy",04/08/2020 18:20 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2020,08,Ice
Funnel,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",31/07/2005 12:51 UTC,ESWD Management,Event observed via satellite imagery.,2005,07,Funnel
Ice,QC1,EF1,Paris,"Île-de-France, France",25/05/2020 18:47 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2020,05,Ice
Devil,QC2,EF1,Munich,"Bavaria, Germany",15/04/2002 14:35 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2002,04,Devil
Hail,QC0+,F-Scale: IF1,Zurich,Switzerland,17/01/2014 04:04 UTC,ESWD Management,Damage to vegetation and light structures.,2014,01,Hail
Avalanche,QC0,EF1,Rota,"Andalucía, Spain",25/02/2003 09:28 UTC,Public Report,Damage to vegetation and light structures.,2003,02,Avalanche
Gustnado,QC0,EF2,Genova,"Liguria, Italy",26/12/2018 06:59 UTC,Public Report,Weak event reported with minor impacts.,2018,12,Gustnado
Avalanche,QC1,F-Scale: IF2,Genova,"Liguria, Italy",22/02/2015 21:18 UTC,Storm Chaser Network,Event observed via satellite imagery.,2015,02,Avalanche
Devil,QC1,N/A,Nagpur,"Maharashtra, India",05/08/2025 09:06 UTC,Local Weather Service,Event observed via satellite imagery.,2025,08,Devil
Avalanche,QC0+,N/A,Madrid,Spain,17/03/2014 07:30 UTC,Storm Chaser Network,Event observed via satellite imagery.,2014,03,Avalanche
Lightning,QC0,EF1,Rome,"Lazio, Italy",12/10/2000 05:28 UTC,University Research Group,"Short-lived event, limited damage reported.",2000,10,Lightning
Ice,QC0+,N/A,Paris,"Île-de-France, France",02/08/2005 03:15 UTC,Storm Chaser Network,Event observed via satellite imagery.,2005,08,Ice
Devil,QC0+,F-Scale: IF2,Paris,"Île-de-France, France",06/06/2007 05:55 UTC,ESWD Management,Weak event reported with minor impacts.,2007,06,Devil
Devil,QC2,EF0,Munich,"Bavaria, Germany",10/07/2019 19:47 UTC,Local Weather Service,Event observed via satellite imagery.,2019,07,Devil
Funnel,QC2,F-Scale: IF1,Genova,"Liguria, Italy",29/04/2018 15:09 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2018,04,Funnel
Tornado,QC1,F-Scale: IF1,Zurich,Switzerland,12/01/2001 18:28 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2001,01,Tornado
Hail,QC0,EF0,Madrid,Spain,10/05/2015 10:59 UTC,Public Report,"Short-lived event, limited damage reported.",2015,05,Hail
Hail,QC0+,EF2,Paris,"Île-de-France, France",20/03/2009 12:43 UTC,ESWD Management,"Short-lived event, limited damage reported.",2009,03,Hail
Precip,QC0+,F-Scale: IF1,Zurich,Switzerland,21/07/2007 13:47 UTC,Meteorological Office,Damage to vegetation and light structures.,2007,07,Precip
Hail,QC0+,EF0,Munich,"Bavaria, Germany",27/02/2011 09:55 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2011,02,Hail
Avalanche,QC0,EF0,Rome,"Lazio, Italy",12/12/2010 22:01 UTC,University Research Group,Weak event reported with minor impacts.,2010,12,Avalanche
Hail,QC2,F-Scale: IF0,Rome,"Lazio, Italy",26/06/2015 12:16 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2015,06,Hail
Wind,QC1,F-Scale: IF2,Zurich,Switzerland,05/01/2004 14:55 UTC,Local Weather Service,Damage to vegetation and light structures.,2004,01,Wind
Snow,QC0+,F-Scale: IF1,Munich,"Bavaria, Germany",19/06/2021 05:23 UTC,Public Report,Strong winds caused structural damage.,2021,06,Snow
Lightning,QC0,EF0,Rome,"Lazio, Italy",25/10/2023 06:40 UTC,Meteorological Office,Weak event reported with minor impacts.,2023,10,Lightning
Devil,QC0,F-Scale: IF2,Genova,"Liguria, Italy",14/02/2007 03:09 UTC,ESWD Management,"Short-lived event, limited damage reported.",2007,02,Devil
Ice,QC0+,N/A,Paris,"Île-de-France, France",07/09/2006 10:00 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2006,09,Ice
Gustnado,QC0+,EF1,Nagpur,"Maharashtra, India",14/05/2018 10:38 UTC,ESWD Management,Event observed via satellite imagery.,2018,05,Gustnado
Funnel,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",04/05/2002 19:32 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2002,05,Funnel
Hail,QC0+,EF1,Tel Aviv,"Tel Aviv District, Israel",06/08/2010 00:35 UTC,University Research Group,Weak event reported with minor impacts.,2010,08,Hail
Funnel,QC0,N/A,Genova,"Liguria, Italy",26/01/2012 06:06 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2012,01,Funnel
Snow,QC0+,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",07/11/2006 18:12 UTC,ESWD Management,Damage to vegetation and light structures.,2006,11,Snow
Gustnado,QC0,EF0,Munich,"Bavaria, Germany",09/01/2023 00:42 UTC,Local Weather Service,Event observed via satellite imagery.,2023,01,Gustnado
Avalanche,QC0+,N/A,Paris,"Île-de-France, France",29/12/2006 04:30 UTC,Public Report,Damage to vegetation and light structures.,2006,12,Avalanche
Tornado,QC2,F-Scale: IF1,Munich,"Bavaria, Germany",28/09/2020 08:23 UTC,University Research Group,Weak event reported with minor impacts.,2020,09,Tornado
Devil,QC2,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",23/11/2001 02:17 UTC,ESWD Management,Damage to vegetation and light structures.,2001,11,Devil
Wind,QC2,EF1,Madrid,Spain,23/12/2021 23:07 UTC,Public Report,Strong winds caused structural damage.,2021,12,Wind
Hail,QC1,N/A,Madrid,Spain,06/12/2020 22:05 UTC,Public Report,"Short-lived event, limited damage reported.",2020,12,Hail
Hail,QC0+,EF1,Munich,"Bavaria, Germany",25/06/2023 13:54 UTC,Storm Chaser Network,Event observed via satellite imagery.,2023,06,Hail
Avalanche,QC1,N/A,Nagpur,"Maharashtra, India",17/04/2003 20:28 UTC,Meteorological Office,Weak event reported with minor impacts.,2003,04,Avalanche
Tornado,QC1,F-Scale: IF2,Zurich,Switzerland,28/02/2017 12:49 UTC,ESWD Management,Damage to vegetation and light structures.,2017,02,Tornado
Wind,QC2,N/A,Nagpur,"Maharashtra, India",19/09/2000 07:21 UTC,University Research Group,Event observed via satellite imagery.,2000,09,Wind
Wind,QC1,EF0,Rome,"Lazio, Italy",10/04/2006 22:09 UTC,Local Weather Service,Event observed via satellite imagery.,2006,04,Wind
Avalanche,QC2,EF0,Nagpur,"Maharashtra, India",11/09/2019 08:37 UTC,Storm Chaser Network,Strong winds caused structural damage.,2019,09,Avalanche
Wind,QC0+,EF0,Vienna,Austria,07/03/2009 15:48 UTC,ESWD Management,Event observed via satellite imagery.,2009,03,Wind
Gustnado,QC0,F-Scale: IF2,Genova,"Liguria, Italy",02/04/2013 12:46 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2013,04,Gustnado
Precip,QC1,F-Scale: IF2,Zurich,Switzerland,03/07/2003 20:25 UTC,Public Report,"Short-lived event, limited damage reported.",2003,07,Precip
Wind,QC1,F-Scale: IF2,Rota,"Andalucía, Spain",04/07/2021 02:18 UTC,Local Weather Service,Damage to vegetation and light structures.,2021,07,Wind
Lightning,QC0+,EF2,Tel Aviv,"Tel Aviv District, Israel",30/06/2000 03:27 UTC,University Research Group,"Short-lived event, limited damage reported.",2000,06,Lightning
Ice,QC0+,EF2,Rota,"Andalucía, Spain",08/02/2001 17:23 UTC,Public Report,Damage to vegetation and light structures.,2001,02,Ice
Avalanche,QC2,F-Scale: IF2,Paris,"Île-de-France, France",04/02/2018 11:24 UTC,Public Report,Damage to vegetation and light structures.,2018,02,Avalanche
Ice,QC0,EF0,Vienna,Austria,14/04/2002 17:38 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2002,04,Ice
Lightning,QC0,F-Scale: IF1,Rota,"Andalucía, Spain",31/07/2024 19:19 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2024,07,Lightning
Precip,QC0+,N/A,Paris,"Île-de-France, France",25/12/2011 04:54 UTC,Local Weather Service,Weak event reported with minor impacts.,2011,12,Precip
Tornado,QC0+,F-Scale: IF0,Zurich,Switzerland,15/05/2012 13:27 UTC,ESWD Management,Damage to vegetation and light structures.,2012,05,Tornado
Avalanche,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",21/09/2008 14:16 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2008,09,Avalanche
Lightning,QC0,F-Scale: IF0,Rome,"Lazio, Italy",12/06/2011 07:11 UTC,Local Weather Service,Weak event reported with minor impacts.,2011,06,Lightning
Ice,QC2,F-Scale: IF1,Paris,"Île-de-France, France",18/12/2002 07:28 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2002,12,Ice
Funnel,QC1,N/A,Genova,"Liguria, Italy",13/08/2020 11:41 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2020,08,Funnel
Tornado,QC1,EF1,Madrid,Spain,30/07/2024 11:17 UTC,Local Weather Service,Strong winds caused structural damage.,2024,07,Tornado
Precip,QC1,N/A,Rome,"Lazio, Italy",30/04/2023 23:17 UTC,Public Report,Event observed via satellite imagery.,2023,04,Precip
Devil,QC1,F-Scale: IF2,Rota,"Andalucía, Spain",18/06/2019 16:29 UTC,Public Report,Damage to vegetation and light structures.,2019,06,Devil
Wind,QC1,N/A,Zurich,Switzerland,20/04/2002 20:11 UTC,Meteorological Office,Weak event reported with minor impacts.,2002,04,Wind
Gustnado,QC0+,EF0,Madrid,Spain,11/01/2010 07:28 UTC,Local Weather Service,Weak event reported with minor impacts.,2010,01,Gustnado
Lightning,QC2,EF0,Madrid,Spain,13/04/2016 14:05 UTC,Public Report,Damage to vegetation and light structures.,2016,04,Lightning
Ice,QC2,EF2,Genova,"Liguria, Italy",17/11/2010 05:32 UTC,ESWD Management,Damage to vegetation and light structures.,2010,11,Ice
Avalanche,QC0+,EF0,Zurich,Switzerland,17/03/2018 14:45 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2018,03,Avalanche
Snow,QC0+,EF0,Vienna,Austria,21/04/2005 10:30 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2005,04,Snow
Tornado,QC0+,F-Scale: IF2,Nagpur,"Maharashtra, India",07/03/2018 14:40 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2018,03,Tornado
Gustnado,QC1,EF1,Vienna,Austria,21/02/2007 20:24 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2007,02,Gustnado
Funnel,QC0+,EF1,Genova,"Liguria, Italy",10/09/2003 00:17 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2003,09,Funnel
Funnel,QC2,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",21/04/2002 00:04 UTC,ESWD Management,Event observed via satellite imagery.,2002,04,Funnel
Ice,QC0,F-Scale: IF0,Vienna,Austria,10/01/2016 22:44 UTC,Local Weather Service,Damage to vegetation and light structures.,2016,01,Ice
Snow,QC0,F-Scale: IF0,Genova,"Liguria, Italy",30/09/2001 19:53 UTC,Public Report,Weak event reported with minor impacts.,2001,09,Snow
Devil,QC0,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",13/07/2017 16:44 UTC,Public Report,Damage to vegetation and light structures.,2017,07,Devil
Tornado,QC1,F-Scale: IF1,Madrid,Spain,20/03/2003 20:54 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2003,03,Tornado
Tornado,QC0,EF0,Munich,"Bavaria, Germany",22/01/2007 21:57 UTC,Public Report,Event observed via satellite imagery.,2007,01,Tornado
Ice,QC0+,EF2,Rota,"Andalucía, Spain",24/08/2017 11:33 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2017,08,Ice
Snow,QC2,EF0,Madrid,Spain,29/09/2013 10:01 UTC,Local Weather Service,Damage to vegetation and light structures.,2013,09,Snow
Precip,QC2,F-Scale: IF1,Vienna,Austria,11/06/2009 08:12 UTC,University Research Group,Event observed via satellite imagery.,2009,06,Precip
Avalanche,QC0,F-Scale: IF1,Genova,"Liguria, Italy",20/08/2002 20:03 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2002,08,Avalanche
Gustnado,QC1,EF2,Tel Aviv,"Tel Aviv District, Israel",18/04/2003 09:38 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2003,04,Gustnado
Devil,QC0,EF2,Paris,"Île-de-France, France",12/07/2019 13:59 UTC,University Research Group,Strong winds caused structural damage.,2019,07,Devil
Lightning,QC2,EF2,Rome,"Lazio, Italy",27/07/2013 07:09 UTC,ESWD Management,Damage to vegetation and light structures.,2013,07,Lightning
Gustnado,QC0,F-Scale: IF0,Zurich,Switzerland,03/08/2008 11:46 UTC,ESWD Management,Damage to vegetation and light structures.,2008,08,Gustnado
Hail,QC2,N/A,Tel Aviv,"Tel Aviv District, Israel",27/04/2022 15:49 UTC,University Research Group,Damage to vegetation and light structures.,2022,04,Hail
Wind,QC1,N/A,Tel Aviv,"Tel Aviv District, Israel",31/08/2014 14:24 UTC,Public Report,Strong winds caused structural damage.,2014,08,Wind
Gustnado,QC2,F-Scale: IF0,Rota,"Andalucía, Spain",13/05/2007 08:33 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2007,05,Gustnado
Gustnado,QC2,F-Scale: IF2,Rota,"Andalucía, Spain",18/04/2006 08:11 UTC,Local Weather Service,Strong winds caused structural damage.,2006,04,Gustnado
Gustnado,QC1,EF2,Zurich,Switzerland,21/09/2001 00:18 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2001,09,Gustnado
Snow,QC2,N/A,Vienna,Austria,14/02/2000 03:34 UTC,Public Report,Event observed via satellite imagery.,2000,02,Snow
Devil,QC1,EF1,Tel Aviv,"Tel Aviv District, Israel",30/11/2014 23:13 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2014,11,Devil
Tornado,QC0,EF0,Rome,"Lazio, Italy",27/10/2008 14:50 UTC,University Research Group,"Short-lived event, limited damage reported.",2008,10,Tornado
Lightning,QC0,F-Scale: IF2,Munich,"Bavaria, Germany",02/03/2024 15:34 UTC,Meteorological Office,Weak event reported with minor impacts.,2024,03,Lightning
Hail,QC2,EF0,Rome,"Lazio, Italy",25/10/2002 16:11 UTC,Public Report,"Short-lived event, limited damage reported.",2002,10,Hail
Devil,QC1,F-Scale: IF2,Vienna,Austria,30/12/2009 15:20 UTC,University Research Group,Weak event reported with minor impacts.,2009,12,Devil
Devil,QC1,F-Scale: IF0,Rome,"Lazio, Italy",26/05/2011 13:28 UTC,Public Report,Event observed via satellite imagery.,2011,05,Devil
Avalanche,QC2,F-Scale: IF0,Nagpur,"Maharashtra, India",25/02/2020 08:09 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2020,02,Avalanche
Funnel,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",04/01/2024 18:39 UTC,Public Report,Strong winds caused structural damage.,2024,01,Funnel
Precip,QC0+,EF1,Munich,"Bavaria, Germany",18/04/2002 16:57 UTC,University Research Group,"Short-lived event, limited damage reported.",2002,04,Precip
Ice,QC1,F-Scale: IF1,Genova,"Liguria, Italy",14/07/2010 13:16 UTC,Public Report,Strong winds caused structural damage.,2010,07,Ice
Devil,QC1,EF2,Rota,"Andalucía, Spain",07/04/2019 02:43 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2019,04,Devil
Avalanche,QC0+,EF2,Genova,"Liguria, Italy",28/10/2005 08:48 UTC,Meteorological Office,Strong winds caused structural damage.,2005,10,Avalanche
Ice,QC0+,EF2,Zurich,Switzerland,05/04/2007 14:33 UTC,Local Weather Service,Damage to vegetation and light structures.,2007,04,Ice
Funnel,QC0,F-Scale: IF0,Munich,"Bavaria, Germany",18/11/2013 18:30 UTC,Local Weather Service,Weak event reported with minor impacts.,2013,11,Funnel
Avalanche,QC0+,F-Scale: IF0,Nagpur,"Maharashtra, India",17/12/2002 09:13 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2002,12,Avalanche
Funnel,QC0,EF0,Madrid,Spain,24/12/2023 15:52 UTC,University Research Group,"Short-lived event, limited damage reported.",2023,12,Funnel
Ice,QC1,F-Scale: IF1,Genova,"Liguria, Italy",24/12/2015 03:08 UTC,Storm Chaser Network,Event observed via satellite imagery.,2015,12,Ice
Lightning,QC0,F-Scale: IF0,Munich,"Bavaria, Germany",25/10/2000 21:10 UTC,Local Weather Service,Event observed via satellite imagery.,2000,10,Lightning
Snow,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",02/06/2023 23:32 UTC,University Research Group,Damage to vegetation and light structures.,2023,06,Snow
Avalanche,QC0,N/A,Vienna,Austria,17/06/2017 14:45 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2017,06,Avalanche
Devil,QC2,N/A,Tel Aviv,"Tel Aviv District, Israel",12/07/2008 21:11 UTC,Public Report,Strong winds caused structural damage.,2008,07,Devil
Funnel,QC2,EF0,Nagpur,"Maharashtra, India",05/03/2022 19:01 UTC,Meteorological Office,Strong winds caused structural damage.,2022,03,Funnel
Snow,QC2,F-Scale: IF1,Nagpur,"Maharashtra, India",18/11/2001 01:14 UTC,ESWD Management,"Short-lived event, limited damage reported.",2001,11,Snow
Snow,QC1,EF0,Rota,"Andalucía, Spain",16/09/2016 22:08 UTC,University Research Group,Weak event reported with minor impacts.,2016,09,Snow
Snow,QC0,EF1,Paris,"Île-de-France, France",28/10/2003 04:34 UTC,Public Report,"Short-lived event, limited damage reported.",2003,10,Snow
Funnel,QC2,EF1,Rome,"Lazio, Italy",02/02/2006 16:09 UTC,Public Report,Strong winds caused structural damage.,2006,02,Funnel
Snow,QC1,F-Scale: IF1,Genova,"Liguria, Italy",16/06/2001 21:46 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2001,06,Snow
Hail,QC0,F-Scale: IF2,Munich,"Bavaria, Germany",29/09/2001 03:38 UTC,University Research Group,Event observed via satellite imagery.,2001,09,Hail
Ice,QC1,N/A,Zurich,Switzerland,12/11/2006 09:34 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2006,11,Ice
Lightning,QC1,EF2,Vienna,Austria,15/05/2003 17:00 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2003,05,Lightning
Avalanche,QC0+,EF2,Rota,"Andalucía, Spain",15/10/2012 11:11 UTC,ESWD Management,Event observed via satellite imagery.,2012,10,Avalanche
Lightning,QC0,F-Scale: IF0,Rome,"Lazio, Italy",28/06/2004 12:22 UTC,Meteorological Office,Damage to vegetation and light structures.,2004,06,Lightning
Snow,QC0+,EF1,Genova,"Liguria, Italy",11/03/2008 19:40 UTC,ESWD Management,Event observed via satellite imagery.,2008,03,Snow
Avalanche,QC0,N/A,Munich,"Bavaria, Germany",21/12/2013 18:46 UTC,University Research Group,"Short-lived event, limited damage reported.",2013,12,Avalanche
Tornado,QC1,F-Scale: IF0,Madrid,Spain,01/05/2013 18:51 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2013,05,Tornado
Ice,QC1,F-Scale: IF2,Zurich,Switzerland,03/03/2004 22:27 UTC,University Research Group,Weak event reported with minor impacts.,2004,03,Ice
Gustnado,QC0,F-Scale: IF0,Genova,"Liguria, Italy",25/03/2004 20:04 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2004,03,Gustnado
Wind,QC0,F-Scale: IF2,Vienna,Austria,18/03/2018 18:29 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2018,03,Wind
Lightning,QC0+,F-Scale: IF1,Nagpur,"Maharashtra, India",05/09/2003 11:24 UTC,University Research Group,"Short-lived event, limited damage reported.",2003,09,Lightning
Funnel,QC0+,F-Scale: IF1,Rota,"Andalucía, Spain",04/02/2021 07:27 UTC,University Research Group,Strong winds caused structural damage.,2021,02,Funnel
Lightning,QC1,EF1,Nagpur,"Maharashtra, India",19/04/2018 00:10 UTC,University Research Group,Event observed via satellite imagery.,2018,04,Lightning
Wind,QC2,F-Scale: IF1,Madrid,Spain,02/09/2010 02:01 UTC,Public Report,Strong winds caused structural damage.,2010,09,Wind
Hail,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",04/09/2023 09:59 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2023,09,Hail
Hail,QC0+,EF1,Rome,"Lazio, Italy",26/11/2012 09:11 UTC,ESWD Management,Strong winds caused structural damage.,2012,11,Hail
Hail,QC0,EF0,Munich,"Bavaria, Germany",28/04/2022 00:02 UTC,Public Report,Event observed via satellite imagery.,2022,04,Hail
Ice,QC0,EF2,Tel Aviv,"Tel Aviv District, Israel",12/11/2025 06:17 UTC,Local Weather Service,Event observed via satellite imagery.,2025,11,Ice
Avalanche,QC0,EF2,Nagpur,"Maharashtra, India",19/03/2011 01:35 UTC,Storm Chaser Network,Event observed via satellite imagery.,2011,03,Avalanche
Devil,QC0,EF2,Munich,"Bavaria, Germany",19/01/2005 19:36 UTC,Local Weather Service,Strong winds caused structural damage.,2005,01,Devil
Funnel,QC1,F-Scale: IF1,Rota,"Andalucía, Spain",17/07/2018 03:39 UTC,Storm Chaser Network,Event observed via satellite imagery.,2018,07,Funnel
Gustnado,QC2,EF0,Genova,"Liguria, Italy",16/07/2016 11:05 UTC,University Research Group,"Short-lived event, limited damage reported.",2016,07,Gustnado
Precip,QC0+,N/A,Munich,"Bavaria, Germany",21/11/2019 22:38 UTC,University Research Group,Event observed via satellite imagery.,2019,11,Precip
Devil,QC0+,EF0,Zurich,Switzerland,04/11/2015 06:25 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2015,11,Devil
Hail,QC2,EF0,Rota,"Andalucía, Spain",23/04/2011 00:06 UTC,Local Weather Service,Weak event reported with minor impacts.,2011,04,Hail
Avalanche,QC0+,EF0,Paris,"Île-de-France, France",08/07/2023 09:52 UTC,ESWD Management,Damage to vegetation and light structures.,2023,07,Avalanche
Gustnado,QC2,N/A,Munich,"Bavaria, Germany",12/07/2012 06:02 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2012,07,Gustnado
Lightning,QC1,EF2,Genova,"Liguria, Italy",20/05/2020 11:52 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2020,05,Lightning
Devil,QC1,F-Scale: IF1,Munich,"Bavaria, Germany",22/05/2021 13:19 UTC,Storm Chaser Network,Event observed via satellite imagery.,2021,05,Devil
Wind,QC2,EF0,Tel Aviv,"Tel Aviv District, Israel",07/10/2000 08:00 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2000,10,Wind
Lightning,QC1,EF1,Tel Aviv,"Tel Aviv District, Israel",04/12/2004 09:08 UTC,Meteorological Office,Strong winds caused structural damage.,2004,12,Lightning
Funnel,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",03/03/2023 10:35 UTC,ESWD Management,"Short-lived event, limited damage reported.",2023,03,Funnel
Funnel,QC0+,N/A,Nagpur,"Maharashtra, India",07/09/2012 08:36 UTC,University Research Group,"Short-lived event, limited damage reported.",2012,09,Funnel
Tornado,QC2,EF1,Rome,"Lazio, Italy",09/10/2023 06:14 UTC,ESWD Management,Event observed via satellite imagery.,2023,10,Tornado
Avalanche,QC1,F-Scale: IF0,Vienna,Austria,04/11/2024 14:19 UTC,Storm Chaser Network,Event observed via satellite imagery.,2024,11,Avalanche
Gustnado,QC1,EF2,Genova,"Liguria, Italy",28/09/2013 14:30 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2013,09,Gustnado
Devil,QC1,F-Scale: IF0,Zurich,Switzerland,09/05/2025 19:15 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2025,05,Devil
Tornado,QC0,N/A,Nagpur,"Maharashtra, India",26/12/2010 11:05 UTC,Meteorological Office,Damage to vegetation and light structures.,2010,12,Tornado
Wind,QC2,F-Scale: IF1,Nagpur,"Maharashtra, India",20/11/2023 11:22 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2023,11,Wind
Avalanche,QC0+,F-Scale: IF1,Genova,"Liguria, Italy",17/08/2004 19:17 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2004,08,Avalanche
Devil,QC0,F-Scale: IF0,Paris,"Île-de-France, France",01/07/2018 18:15 UTC,University Research Group,"Short-lived event, limited damage reported.",2018,07,Devil
Wind,QC0+,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",25/11/2009 07:19 UTC,ESWD Management,Weak event reported with minor impacts.,2009,11,Wind
Ice,QC1,EF2,Rota,"Andalucía, Spain",09/05/2018 04:06 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2018,05,Ice
Devil,QC0,F-Scale: IF0,Genova,"Liguria, Italy",15/04/2015 08:04 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2015,04,Devil
Lightning,QC1,EF1,Nagpur,"Maharashtra, India",24/12/2001 16:14 UTC,Local Weather Service,Strong winds caused structural damage.,2001,12,Lightning
Avalanche,QC1,F-Scale: IF0,Paris,"Île-de-France, France",14/09/2009 14:03 UTC,ESWD Management,"Short-lived event, limited damage reported.",2009,09,Avalanche
Tornado,QC0,EF0,Nagpur,"Maharashtra, India",27/10/2025 09:28 UTC,University Research Group,Damage to vegetation and light structures.,2025,10,Tornado
Snow,QC0+,F-Scale: IF0,Paris,"Île-de-France, France",14/12/2024 23:45 UTC,University Research Group,Weak event reported with minor impacts.,2024,12,Snow
Precip,QC1,F-Scale: IF1,Rome,"Lazio, Italy",15/12/2000 22:46 UTC,Local Weather Service,Event observed via satellite imagery.,2000,12,Precip
Devil,QC0+,F-Scale: IF1,Rota,"Andalucía, Spain",18/01/2008 06:41 UTC,Local Weather Service,Damage to vegetation and light structures.,2008,01,Devil
Wind,QC0+,F-Scale: IF0,Rota,"Andalucía, Spain",29/02/2020 07:42 UTC,ESWD Management,Strong winds caused structural damage.,2020,02,Wind
Devil,QC2,F-Scale: IF1,Vienna,Austria,09/06/2013 23:26 UTC,University Research Group,Weak event reported with minor impacts.,2013,06,Devil
